paperId,abstract,year,referenceCount,citationCount,influentialCitationCount,year0_citation_count,year1_citation_count,year2_citation_count,year3_citation_count,year4_citation_count,year5_citation_count,year6_citation_count,year7_citation_count,year8_citation_count,year9_citation_count
4c0edcd685a2824cd26d3ccc2b6505a2f0229ec6,"This paper examines and rejects the commonplace view that the doctrines of classical contract law (offer and acceptance, consideration, damages) were logically linked to the political philosophy of laissez-faire. Many writers (Grant Gilmore, Patrick Atiyah, Lawrence Friedman) attribute much of the rigid and mechanical nature of nineteenth century contract law to its affinity with laissez-faire. In this paper I reject that connection. The key distinction is that between security of exchange and freedom of contract. Laissez-faire is strongly committed to both, but most of contract law only requires the former without the latter. Security of exchange ensures that the enforcement of legal contracts when, as commonly is the case, one party must perform before the other. Freedom of contract guarantees a broad sphere in which voluntary arrangements are permissible. Most contract law is devoted to the former, which can be supported even by those who favor extensive regulation of economic transactions. The strength or weakness of that law is largely determined by instrumental questions of whether they promote stable contracting over time.",1996,0,224,0,0,1,12,26,19,33,32,32,28,26
d3cdca6dcd3fdf4a19b6553f81665095de28cc8d,"The contract net protocol has been developed to specify problem-solving communication and control for nodes in a distributed problem solver. Task distribution is affected by a negotiation process, a discussion carried on between nodes with tasks to be executed and nodes that may be able to execute those tasks.",1980,13,4145,285,2,4,2,5,6,8,4,11,13,26
3db23b99e61a33113f29b1bd72b314f5b1de2a48,"I would like to thank Karl Aquino, Joel Brockner, Daniel Forbes, Matthew Kraatz, Judi McLean Parks, Alexandra Mithel, Lynn Shore, Jon Turner, Linn Van Dyne, Batia Wiesenfeld, Dale Zand, and four anonymous reviewers for their helpful assistance with this manuscript. This paper examines the theoretical and empirical relationships between employees' trust in their employers and their experiences of psychological contract breach by their employers, using data from a longitudinal field of 125 newly hired managers. Data were collected at three points in time over a two-and-a-half-year period: after the new hires negotiated and accepted an offer of employment; after 18 months on the job; and after 30 months on the job. Results show that the relationship between trust and psychological contract breach is strong and multifaceted. Initial trust in one's employer at time of hire was negatively related to psychological contract breach after 18 months on the job. Further, trust (along with unmet expectations) mediated the relationship between psychological contract breach and employees' subsequent contributions to the firm. Finally, initial trust in one's employer at the time of hire moderated the relationship between psychological contract breach and subsequent trust such that those with high initial trust experienced less decline in trust after a breach than did those with low initial trust.",1996,35,2769,306,1,3,22,24,27,40,38,71,67,91
54ce6dc5dca108231d2d70ec85c1420ee4eefaef,The psychological contract held by an employee consists of beliefs about the reciprocal obligations between that employee and his or her organization. Violation refers to the feelings of anger and betrayal that are often experienced when an employee believes that the organization has failed to fulfill one or more of those obligations. This article provides a model outlining the psychological sensemaking processes preceding an employee's experience of psychological contract violation. It also identifies factors that affect those processes with the aim of encouraging future empirical research.,1997,63,2422,269,2,19,23,32,38,36,51,63,56,71
d3df2627f9dc761fddbdef8c8192061619b11e82,"The occurrence and impact of psychological contract violations were studied among graduate management alumni (N = 128) who were surveyed twice, once at graduation (immediately following recruitment) and then two years later. Psychological contracts, reciprocal obligations in employment developed during and after recruitment, were reported by a majority of respondents (54.8 per cent) as having been violated by their employers. The impact of violations are examined using both quantitative and qualitative data. Occurrence of violations correlated positively with turnover and negatively with trust, satisfaction and intentions to remain.",1994,31,2183,172,2,6,9,18,22,17,32,31,38,47
144d05fc169b380401868cd60adef1acf2702ebd,"Methodological guidelines for object-oriented software construction that improve the reliability of the resulting software systems are presented. It is shown that the object-oriented techniques rely on the theory of design by contract, which underlies the design of the Eiffel analysis, design, and programming language and of the supporting libraries, from which a number of examples are drawn. The theory of contract design and the role of assertions in that theory are discussed.<<ETX>>",1992,30,2278,148,3,9,15,19,14,22,19,41,42,48
fdb84029310a2d220c78b301f2e8cc9d86c3e2bc,"This paper presents an economic institution which enabled eleventh-century traders to benefit from employing overseas agents despite the commitment problem inherent in these relations. Agency relations were governed by a coalition--an economic institution in which expectations, implicit contractual relations, and a specific information-transmission mechanism supported the operation of a reputation mechanism. Historical records and a simple game-theoretical model are used to examine this institution. The study highlights the interaction between social and economic institutions, the determinants of business practices, the nature of the merchants' law, and the interrelations between market and nonmarket institutions. Copyright 1993 by American Economic Association.",1993,46,2355,104,0,5,3,9,12,16,32,49,47,55
5a9a57fc2a6d67f389c82ca5263c3e634fc07736,"A meta-analysis was conducted to examine the influence of psychological contract breach on 8 work-related outcomes. Breach was related to all outcomes except actual turnover. Based on affective events theory, we developed a causal model integrating breach, affect (violation and mistrust), attitude (job satisfaction, organizational commitment, and turnover intentions), and individual effectiveness (actual turnover, organizational citizenship behavior, and in-role performance). Structural equation modeling was used to test the model. The results indicated that affect mediates the effect of breach on attitude and individual effectiveness. Two moderators were also examined including the type of breach measure (global vs. composite) and the content of the psychological contract breach (transactional vs. relational). Theoretical and practical implications of the results are discussed.",2007,124,1202,134,8,23,44,50,72,88,66,88,96,116
44946d0ccdc0c3f37605e8434456e2cc789ffa04,"In this remarkably original work of political philosophy, one of today's foremost feminist theorist challenges the way contemporary society functions by questioning the standard interpretation of an idea that is deeply embedded in American and British political thought: that our rights and freedoms derive from the social contract explicated by Locke, Hobbes, and Rousseau and interpreted in the United States by the Founding Fathers. The author shows how we are told only half the story of the original contract that establishes modern patriarchy. The sexual contract is ignored and thus men's patriarchal right over women is also glossed over. No attention is paid to the problems that arise when women are excluded from the original contract but incorporated into the new contractual order. One of the main targets of the book is those who try to turn contractarian theory to progressive use, and a major thesis of the book is that this is not possible. Thus those feminists who have looked to a more ""proper"" contract- one between genuinely equal partners, or one entered into without any coercion- are misleading themselves. In the author's words, ""In contract theory universal freedom is always a hypothesis, a story, a political fiction. Contract always generates political right in the forms of domination and subordination."" Thus the book is also aimed at mainstream political theorists, and socialist and other critics of contract theory. The author offers a sweeping challenge to conventional understandings- of both left and right- of actual contracts in everyday life: the marriage contract, the employment contract, the prostitution contract, and the new surrogate mother contract. By bringing a feminist perspective to bear on the contradictions and paradoxes surrounding women and contract, and the relation between the sexes, she is able to shed new light on fundamental political problems of freedom and subordination.",1988,0,1914,23,0,9,12,20,31,27,44,47,50,55
6027e64c7f70aa50fac551ffabc70e4e1015f932,"Nonstandard employment relations—such as part-time work, temporary help agency and contract company employment, short-term and contingent work, and independent contracting—have become increasingly prominent ways of organizing work in recent years. Our understanding of these nonstandard work arrangements has been hampered by inconsistent definitions, often inadequate measures, and the paucity of comparative research. This chapter reviews the emerging research on these nonstandard work arrangements. The review emphasizes the multidisciplinary nature of contributions to this field, including research by a variety of sociologists, economists, and psychologists. It also focuses on cross-national research, which is needed to investigate how macroeconomic, political, and institutional factors affect the nature of employment relations. Areas for future research are suggested.",2000,115,1243,108,3,5,11,21,9,39,36,39,67,61
