paperId,abstract,year,referenceCount,citationCount,influentialCitationCount,year0_citation_count,year1_citation_count,year2_citation_count,year3_citation_count,year4_citation_count,year5_citation_count,year6_citation_count,year7_citation_count,year8_citation_count,year9_citation_count
a411f6a0e6473137ac1a538f7cee65722fa3584f,"Genomic sequencing has made it clear that a large fraction of the genes specifying the core biological functions are shared by all eukaryotes. Knowledge of the biological role of such shared proteins in one organism can often be transferred to other organisms. The goal of the Gene Ontology Consortium is to produce a dynamic, controlled vocabulary that can be applied to all eukaryotes even as knowledge of gene and protein roles in cells is accumulating and changing. To this end, three independent ontologies accessible on the World-Wide Web (http://www.geneontology.org) are being constructed: biological process, molecular function and cellular component.",2000,35,31100,1372,0,0,0,0,1,0,0,1,0,1
82e320e06b1c717b0d924d257aa7b6710f53a38e,"1. Oxygen is a toxic gas - an introductionto oxygen toxicity and reactive species 2. The chemistry of free radicals and related 'reactive species' 3. Antioxidant defences Endogenous and Diet Derived 4. Cellular responses to oxidative stress: adaptation, damage, repair, senescence and death 5. Measurement of reactive species 6. Reactive species can pose special problems needing special solutions. Some examples. 7. Reactive species can be useful some more examples 8. Reactive species can be poisonous: their role in toxicology 9. Reactive species and disease: fact, fiction or filibuster? 10. Ageing, nutrition, disease, and therapy: A role for antioxidants?",1985,0,20977,1140,0,0,0,0,0,0,1,0,0,0
fd495d6cf7c3169bc58550fdf32be6e16e2800f8,"The Bioconductor project is an initiative for the collaborative creation of extensible software for computational biology and bioinformatics. The goals of the project include: fostering collaborative development and widespread use of innovative software, reducing barriers to entry into interdisciplinary scientific research, and promoting the achievement of remote reproducibility of research results. We describe details of our aims and methods, identify current challenges, compare Bioconductor to other open bioinformatics projects, and provide working examples.",2004,69,11702,986,0,0,1,0,7,451,826,920,966,1006
30eecc8a7b7346a5e0c3a6648b0e156faad3a786,"cellular viewpoint. That is all very well. In any case academics will swallow almost anything if it's their job. Even if the botanists of the 18th century, the well-intentioned of the 19th century and the latterday enthusiasts of this century believed in the cell, is it an approach that is truly relevant? Such must surely be the attitude of today's sceptical medical students, and of many of their now middle-aged predecessors. Well, let a battle-scarred predecessor speak. Even a conventional diet of comparative and classical morphology, combined with exposure to prefashionable Eltonian ecology, and a native distrust of big-business 'nouvelle vague' biology has not blinkered your reviewer to the virtues of Alberts' Molecular Biology of the Cell. This is undoubtedly a landmark for the student and his teacher in the field of preclinical medicine. Many American undergraduate texts in biochemistry and molecular genetics clearly outsell competing English publications. Only English textbooks in immunology remain popular, and effective sellers in this field. The successful texts in these areas eschew traditional academic contrapuntal argument. The new bestselling formula involves clarity of presentation, the effective use of multi-coloured diagrams and the detailed exposition of basic processes. Such didactic approaches suit undergraduates today, and certainly ease the hardship for their seniors needing a refresher",1983,0,8546,650,0,6,11,7,18,12,11,16,26,19
667b43c8adad628c60c20810197cdeec6679714e,"Countless millions of people have died from tuberculosis, a chronic infectious disease caused by the tubercle bacillus. The complete genome sequence of the best-characterized strain of Mycobacterium tuberculosis, H37Rv, has been determined and analysed in order to improve our understanding of the biology of this slow-growing pathogen and to help the conception of new prophylactic and therapeutic interventions. The genome comprises 4,411,529 base pairs, contains around 4,000 genes, and has a very high guanine + cytosine content that is reflected in the biased amino-acid content of the proteins. M. tuberculosis differs radically from other bacteria in that a very large portion of its coding capacity is devoted to the production of enzymes involved in lipogenesis and lipolysis, and to two new families of glycine-rich proteins with a repetitive structure that may represent a source of antigenic variation.",1998,48,7413,404,61,288,335,362,366,301,329,350,328,297
ddf06cf0d375fb9404fe30c5f1d7858d74080e9c,The European Molecular Biology Open Software Suite (EMBOSS) is a mature package of software tools developed for the molecular biology community. It includes a comprehensive set of applications for molecular sequence analysis and other tasks and integrates popular third-party software packages under a consistent interface. EMBOSS includes extensive C programming libraries and is a platform to develop and release software in the true open source spirit.,2000,4,7763,588,3,10,22,85,127,216,255,308,348,346
b65ec8eec4933b3a9425d7dc981fdc27e4260077,"Vascular endothelial growth factor (VEGF) is a key regulator of physiological angiogenesis during embryogenesis, skeletal growth and reproductive functions. VEGF has also been implicated in pathological angiogenesis associated with tumors, intraocular neovascular disorders and other conditions. The biological effects of VEGF are mediated by two receptor tyrosine kinases (RTKs), VEGFR-1 and VEGFR-2, which differ considerably in signaling properties. Non-signaling co-receptors also modulate VEGF RTK signaling. Currently, several VEGF inhibitors are undergoing clinical testing in several malignancies. VEGF inhibition is also being tested as a strategy for the prevention of angiogenesis, vascular leakage and visual loss in age-related macular degeneration.",2003,151,8467,465,35,253,343,392,448,520,507,562,542,626
a462ee3d64edf189e075451ca7cb728bcc9e5fb3,"A key aim of postgenomic biomedical research is to systematically catalogue all molecules and their interactions within a living cell. There is a clear need to understand how these molecules and the interactions between them determine the function of this enormously complex machinery, both in isolation and when surrounded by other cells. Rapid advances in network biology indicate that cellular networks are governed by universal laws and offer a new conceptual framework that could potentially revolutionize our view of biology and disease pathologies in the twenty-first century.",2004,130,7015,296,71,215,292,332,349,427,434,444,531,480
73d7d1adf83ee16e12e6b442ec15357da218c06d,"Diabetes-specific microvascular disease is a leading cause of blindness, renal failure and nerve damage, and diabetes-accelerated atherosclerosis leads to increased risk of myocardial infarction, stroke and limb amputation. Four main molecular mechanisms have been implicated in glucose-mediated vascular damage. All seem to reflect a single hyperglycaemia-induced process of overproduction of superoxide by the mitochondrial electron-transport chain. This integrating paradigm provides a new conceptual framework for future research and drug discovery.",2001,183,7809,418,3,39,172,208,285,315,374,423,421,445
ede7e9d3e65a6c3a834b12b6456e55ff88d926cd,"The prime objective for every life form is to deliver its genetic material, intact and unchanged, to the next generation. This must be achieved despite constant assaults by endogenous and environmental agents on the DNA. To counter this threat, life has evolved several systems to detect DNA damage, signal its presence and mediate its repair. Such responses, which have an impact on a wide range of cellular events, are biologically significant because they prevent diverse human diseases. Our improving understanding of DNA-damage responses is providing new avenues for disease management.",2009,134,4184,215,4,139,217,257,304,351,376,411,452,369
